Year,Units,display,title,Value
2004,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2005,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2006,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2007,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2008,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2009,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2010,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2011,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2012,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2013,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2014,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2015,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2016,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2017,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2018,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2019,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2020,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2025,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2030,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2005,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-2.0
2006,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-1.6
2007,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.7
2008,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.7
2009,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.3
2010,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-1.9
2011,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-1.1
2012,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.2
2013,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.6
2014,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),1.3
2015,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),1.0
2016,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.8
2017,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.9
2018,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),1.4
2019,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),1.3
1992,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1993,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1994,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1995,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1996,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1997,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1998,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1999,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2000,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2001,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2002,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2003,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2004,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2005,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2006,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2007,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2008,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2009,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2010,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2011,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2012,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2013,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2014,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2015,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2016,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2017,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2018,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2019,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2020,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2025,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2030,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
1992,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.9
1993,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-1.0
1994,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.4
1995,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.5
1996,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.8
1997,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.8
1998,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.0
1999,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.9
2000,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.9
2001,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.7
2002,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-0.2
2003,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-0.7
2004,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.2
2005,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.7
2006,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),3.8
2007,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),3.0
2008,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.0
2009,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),-5.7
2010,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),4.2
2011,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),3.9
2012,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.4
2013,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.4
2014,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.2
2015,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.7
2016,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.2
2017,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),2.5
2018,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),1.5
2019,percentage (%),a) time series,gross domestic produkt (price-adjusted) (year-on-year changes in %),0.6
