Year,Units,display,age,Bundesland,GeoCode,Value
2011,percentage (%),a) time series,0- to 2-year-olds,hh,code02,16.8
2012,percentage (%),a) time series,0- to 2-year-olds,hh,code02,19.0
2013,percentage (%),a) time series,0- to 2-year-olds,hh,code02,19.9
2014,percentage (%),a) time series,0- to 2-year-olds,hh,code02,20.4
2015,percentage (%),a) time series,0- to 2-year-olds,hh,code02,21.5
2016,percentage (%),a) time series,0- to 2-year-olds,hh,code02,21.7
2017,percentage (%),a) time series,0- to 2-year-olds,hh,code02,24.0
2018,percentage (%),a) time series,0- to 2-year-olds,hh,code02,23.4
2019,percentage (%),a) time series,0- to 2-year-olds,hh,code02,26.2
2006,percentage (%),a) time series,0- to 2-year-olds,he,code06,2.9
2007,percentage (%),a) time series,0- to 2-year-olds,he,code06,3.9
2008,percentage (%),a) time series,0- to 2-year-olds,he,code06,5.1
2009,percentage (%),a) time series,0- to 2-year-olds,he,code06,6.3
2010,percentage (%),a) time series,0- to 2-year-olds,he,code06,8.5
2011,percentage (%),a) time series,0- to 2-year-olds,he,code06,10.0
2012,percentage (%),a) time series,0- to 2-year-olds,he,code06,11.4
2013,percentage (%),a) time series,0- to 2-year-olds,he,code06,12.8
2014,percentage (%),a) time series,0- to 2-year-olds,he,code06,14.8
2015,percentage (%),a) time series,0- to 2-year-olds,he,code06,16.1
2016,percentage (%),a) time series,0- to 2-year-olds,he,code06,16.5
2017,percentage (%),a) time series,0- to 2-year-olds,he,code06,16.6
2018,percentage (%),a) time series,0- to 2-year-olds,he,code06,16.9
2019,percentage (%),a) time series,0- to 2-year-olds,he,code06,17.5
2006,percentage (%),a) time series,0- to 2-year-olds,mv,code13,18.1
2007,percentage (%),a) time series,0- to 2-year-olds,mv,code13,18.7
2008,percentage (%),a) time series,0- to 2-year-olds,mv,code13,19.7
2009,percentage (%),a) time series,0- to 2-year-olds,mv,code13,22.1
2010,percentage (%),a) time series,0- to 2-year-olds,mv,code13,24.0
2011,percentage (%),a) time series,0- to 2-year-olds,mv,code13,25.1
2012,percentage (%),a) time series,0- to 2-year-olds,mv,code13,27.9
2013,percentage (%),a) time series,0- to 2-year-olds,mv,code13,29.9
2014,percentage (%),a) time series,0- to 2-year-olds,mv,code13,31.5
2015,percentage (%),a) time series,0- to 2-year-olds,mv,code13,32.7
2016,percentage (%),a) time series,0- to 2-year-olds,mv,code13,33.3
2017,percentage (%),a) time series,0- to 2-year-olds,mv,code13,34.3
2018,percentage (%),a) time series,0- to 2-year-olds,mv,code13,35.6
2019,percentage (%),a) time series,0- to 2-year-olds,mv,code13,37.4
2006,percentage (%),a) time series,0- to 2-year-olds,ni,code03,1.3
2007,percentage (%),a) time series,0- to 2-year-olds,ni,code03,1.6
2008,percentage (%),a) time series,0- to 2-year-olds,ni,code03,2.1
2009,percentage (%),a) time series,0- to 2-year-olds,ni,code03,2.9
2010,percentage (%),a) time series,0- to 2-year-olds,ni,code03,3.8
2011,percentage (%),a) time series,0- to 2-year-olds,ni,code03,4.8
2012,percentage (%),a) time series,0- to 2-year-olds,ni,code03,5.9
2013,percentage (%),a) time series,0- to 2-year-olds,ni,code03,7.1
2014,percentage (%),a) time series,0- to 2-year-olds,ni,code03,8.7
2015,percentage (%),a) time series,0- to 2-year-olds,ni,code03,9.3
2016,percentage (%),a) time series,0- to 2-year-olds,ni,code03,10.0
2017,percentage (%),a) time series,0- to 2-year-olds,ni,code03,10.4
2018,percentage (%),a) time series,0- to 2-year-olds,ni,code03,10.9
2019,percentage (%),a) time series,0- to 2-year-olds,ni,code03,11.7
2006,percentage (%),a) time series,0- to 2-year-olds,nw,code05,2.4
2007,percentage (%),a) time series,0- to 2-year-olds,nw,code05,2.7
2008,percentage (%),a) time series,0- to 2-year-olds,nw,code05,3.6
2009,percentage (%),a) time series,0- to 2-year-olds,nw,code05,4.7
2010,percentage (%),a) time series,0- to 2-year-olds,nw,code05,5.5
2011,percentage (%),a) time series,0- to 2-year-olds,nw,code05,6.1
2012,percentage (%),a) time series,0- to 2-year-olds,nw,code05,6.9
2013,percentage (%),a) time series,0- to 2-year-olds,nw,code05,7.6
2014,percentage (%),a) time series,0- to 2-year-olds,nw,code05,9.0
2015,percentage (%),a) time series,0- to 2-year-olds,nw,code05,9.7
2016,percentage (%),a) time series,0- to 2-year-olds,nw,code05,9.8
2017,percentage (%),a) time series,0- to 2-year-olds,nw,code05,9.7
2018,percentage (%),a) time series,0- to 2-year-olds,nw,code05,9.9
2019,percentage (%),a) time series,0- to 2-year-olds,nw,code05,10.3
2006,percentage (%),a) time series,0- to 2-year-olds,rp,code07,2.6
2007,percentage (%),a) time series,0- to 2-year-olds,rp,code07,3.2
2008,percentage (%),a) time series,0- to 2-year-olds,rp,code07,4.0
2009,percentage (%),a) time series,0- to 2-year-olds,rp,code07,5.2
2010,percentage (%),a) time series,0- to 2-year-olds,rp,code07,6.9
2011,percentage (%),a) time series,0- to 2-year-olds,rp,code07,9.2
2012,percentage (%),a) time series,0- to 2-year-olds,rp,code07,11.7
2013,percentage (%),a) time series,0- to 2-year-olds,rp,code07,12.7
2014,percentage (%),a) time series,0- to 2-year-olds,rp,code07,14.2
2015,percentage (%),a) time series,0- to 2-year-olds,rp,code07,14.9
2016,percentage (%),a) time series,0- to 2-year-olds,rp,code07,15.3
2017,percentage (%),a) time series,0- to 2-year-olds,rp,code07,15.7
2018,percentage (%),a) time series,0- to 2-year-olds,rp,code07,15.8
2019,percentage (%),a) time series,0- to 2-year-olds,rp,code07,16.2
2006,percentage (%),a) time series,0- to 2-year-olds,sl,code10,3.8
2007,percentage (%),a) time series,0- to 2-year-olds,sl,code10,4.5
2008,percentage (%),a) time series,0- to 2-year-olds,sl,code10,5.8
2009,percentage (%),a) time series,0- to 2-year-olds,sl,code10,7.4
2010,percentage (%),a) time series,0- to 2-year-olds,sl,code10,9.5
2011,percentage (%),a) time series,0- to 2-year-olds,sl,code10,11.5
2012,percentage (%),a) time series,0- to 2-year-olds,sl,code10,13.5
2013,percentage (%),a) time series,0- to 2-year-olds,sl,code10,16.2
2014,percentage (%),a) time series,0- to 2-year-olds,sl,code10,18.7
2015,percentage (%),a) time series,0- to 2-year-olds,sl,code10,21.5
2016,percentage (%),a) time series,0- to 2-year-olds,sl,code10,21.9
2017,percentage (%),a) time series,0- to 2-year-olds,sl,code10,21.7
2018,percentage (%),a) time series,0- to 2-year-olds,sl,code10,21.9
2019,percentage (%),a) time series,0- to 2-year-olds,sl,code10,23.1
2006,percentage (%),a) time series,0- to 2-year-olds,sn,code14,20.1
2007,percentage (%),a) time series,0- to 2-year-olds,sn,code14,21.2
2008,percentage (%),a) time series,0- to 2-year-olds,sn,code14,22.6
2009,percentage (%),a) time series,0- to 2-year-olds,sn,code14,25.7
2010,percentage (%),a) time series,0- to 2-year-olds,sn,code14,29.0
2011,percentage (%),a) time series,0- to 2-year-olds,sn,code14,30.3
2012,percentage (%),a) time series,0- to 2-year-olds,sn,code14,31.9
2013,percentage (%),a) time series,0- to 2-year-olds,sn,code14,32.6
2014,percentage (%),a) time series,0- to 2-year-olds,sn,code14,34.8
2015,percentage (%),a) time series,0- to 2-year-olds,sn,code14,35.8
2016,percentage (%),a) time series,0- to 2-year-olds,sn,code14,36.4
2017,percentage (%),a) time series,0- to 2-year-olds,sn,code14,36.7
2018,percentage (%),a) time series,0- to 2-year-olds,sn,code14,37.4
2019,percentage (%),a) time series,0- to 2-year-olds,sn,code14,38.7
2006,percentage (%),a) time series,0- to 2-year-olds,st,code15,26.4
2007,percentage (%),a) time series,0- to 2-year-olds,st,code15,28.1
2008,percentage (%),a) time series,0- to 2-year-olds,st,code15,28.5
2009,percentage (%),a) time series,0- to 2-year-olds,st,code15,31.4
2010,percentage (%),a) time series,0- to 2-year-olds,st,code15,33.7
2011,percentage (%),a) time series,0- to 2-year-olds,st,code15,35.0
2012,percentage (%),a) time series,0- to 2-year-olds,st,code15,36.9
2013,percentage (%),a) time series,0- to 2-year-olds,st,code15,38.1
2014,percentage (%),a) time series,0- to 2-year-olds,st,code15,46.0
2015,percentage (%),a) time series,0- to 2-year-olds,st,code15,45.5
2016,percentage (%),a) time series,0- to 2-year-olds,st,code15,45.1
2017,percentage (%),a) time series,0- to 2-year-olds,st,code15,45.4
2018,percentage (%),a) time series,0- to 2-year-olds,st,code15,45.7
2019,percentage (%),a) time series,0- to 2-year-olds,st,code15,46.9
2006,percentage (%),a) time series,0- to 2-year-olds,sh,code01,1.7
2007,percentage (%),a) time series,0- to 2-year-olds,sh,code01,1.9
2008,percentage (%),a) time series,0- to 2-year-olds,sh,code01,2.4
2009,percentage (%),a) time series,0- to 2-year-olds,sh,code01,3.0
2010,percentage (%),a) time series,0- to 2-year-olds,sh,code01,4.2
2011,percentage (%),a) time series,0- to 2-year-olds,sh,code01,5.8
2012,percentage (%),a) time series,0- to 2-year-olds,sh,code01,7.1
2013,percentage (%),a) time series,0- to 2-year-olds,sh,code01,8.4
2014,percentage (%),a) time series,0- to 2-year-olds,sh,code01,10.0
2015,percentage (%),a) time series,0- to 2-year-olds,sh,code01,11.6
2016,percentage (%),a) time series,0- to 2-year-olds,sh,code01,12.0
2017,percentage (%),a) time series,0- to 2-year-olds,sh,code01,12.0
2018,percentage (%),a) time series,0- to 2-year-olds,sh,code01,12.9
2019,percentage (%),a) time series,0- to 2-year-olds,sh,code01,13.2
2006,percentage (%),a) time series,0- to 2-year-olds,th,code16,30.4
2007,percentage (%),a) time series,0- to 2-year-olds,th,code16,30.1
2008,percentage (%),a) time series,0- to 2-year-olds,th,code16,31.3
2009,percentage (%),a) time series,0- to 2-year-olds,th,code16,35.5
2010,percentage (%),a) time series,0- to 2-year-olds,th,code16,38.4
2011,percentage (%),a) time series,0- to 2-year-olds,th,code16,39.7
2012,percentage (%),a) time series,0- to 2-year-olds,th,code16,41.4
2013,percentage (%),a) time series,0- to 2-year-olds,th,code16,43.1
2014,percentage (%),a) time series,0- to 2-year-olds,th,code16,45.5
2015,percentage (%),a) time series,0- to 2-year-olds,th,code16,45.9
2016,percentage (%),a) time series,0- to 2-year-olds,th,code16,46.3
2017,percentage (%),a) time series,0- to 2-year-olds,th,code16,47.7
2018,percentage (%),a) time series,0- to 2-year-olds,th,code16,49.2
2019,percentage (%),a) time series,0- to 2-year-olds,th,code16,49.9
2006,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,22.0
2007,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,24.2
2008,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,26.9
2009,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,29.7
2010,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,32.1
2011,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,34.7
2012,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,36.9
2013,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,39.1
2014,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,41.4
2015,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,43.7
2016,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,44.5
2017,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,45.3
2018,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,45.9
2019,percentage (%),a) time series,3- to 5-year-olds,a) germany (total),,46.9
2020,percentage (%),b) target (min),3- to 5-year-olds,a) germany (total),,60.0
2030,percentage (%),b) target (min),3- to 5-year-olds,a) germany (total),,70.0
2006,percentage (%),a) time series,3- to 5-year-olds,bw,code08,6.8
2007,percentage (%),a) time series,3- to 5-year-olds,bw,code08,7.9
2008,percentage (%),a) time series,3- to 5-year-olds,bw,code08,9.2
2009,percentage (%),a) time series,3- to 5-year-olds,bw,code08,11.4
2010,percentage (%),a) time series,3- to 5-year-olds,bw,code08,12.9
2011,percentage (%),a) time series,3- to 5-year-olds,bw,code08,14.7
2012,percentage (%),a) time series,3- to 5-year-olds,bw,code08,16.1
2013,percentage (%),a) time series,3- to 5-year-olds,bw,code08,17.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,code08,19.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,code08,21.4
2016,percentage (%),a) time series,3- to 5-year-olds,bw,code08,22.7
2017,percentage (%),a) time series,3- to 5-year-olds,bw,code08,23.8
2018,percentage (%),a) time series,3- to 5-year-olds,bw,code08,24.5
2019,percentage (%),a) time series,3- to 5-year-olds,bw,code08,25.1
2006,percentage (%),a) time series,3- to 5-year-olds,by,code09,16.8
2007,percentage (%),a) time series,3- to 5-year-olds,by,code09,18.9
2008,percentage (%),a) time series,3- to 5-year-olds,by,code09,20.1
2009,percentage (%),a) time series,3- to 5-year-olds,by,code09,21.4
2010,percentage (%),a) time series,3- to 5-year-olds,by,code09,22.8
2011,percentage (%),a) time series,3- to 5-year-olds,by,code09,24.9
2012,percentage (%),a) time series,3- to 5-year-olds,by,code09,26.9
2013,percentage (%),a) time series,3- to 5-year-olds,by,code09,29.1
2014,percentage (%),a) time series,3- to 5-year-olds,by,code09,31.5
2015,percentage (%),a) time series,3- to 5-year-olds,by,code09,33.9
2016,percentage (%),a) time series,3- to 5-year-olds,by,code09,34.6
2017,percentage (%),a) time series,3- to 5-year-olds,by,code09,35.1
2018,percentage (%),a) time series,3- to 5-year-olds,by,code09,35.5
2019,percentage (%),a) time series,3- to 5-year-olds,by,code09,36.0
2006,percentage (%),a) time series,3- to 5-year-olds,be,code11,50.3
2007,percentage (%),a) time series,3- to 5-year-olds,be,code11,51.9
2008,percentage (%),a) time series,3- to 5-year-olds,be,code11,53.0
2009,percentage (%),a) time series,3- to 5-year-olds,be,code11,54.0
2010,percentage (%),a) time series,3- to 5-year-olds,be,code11,54.5
2011,percentage (%),a) time series,3- to 5-year-olds,be,code11,56.4
2012,percentage (%),a) time series,3- to 5-year-olds,be,code11,58.1
2013,percentage (%),a) time series,3- to 5-year-olds,be,code11,59.5
2014,percentage (%),a) time series,3- to 5-year-olds,be,code11,60.2
2015,percentage (%),a) time series,3- to 5-year-olds,be,code11,61.1
2016,percentage (%),a) time series,3- to 5-year-olds,be,code11,60.0
2017,percentage (%),a) time series,3- to 5-year-olds,be,code11,59.4
2018,percentage (%),a) time series,3- to 5-year-olds,be,code11,60.1
2019,percentage (%),a) time series,3- to 5-year-olds,be,code11,61.0
2006,percentage (%),a) time series,3- to 5-year-olds,bb,code12,43.8
2007,percentage (%),a) time series,3- to 5-year-olds,bb,code12,46.8
2008,percentage (%),a) time series,3- to 5-year-olds,bb,code12,49.3
2009,percentage (%),a) time series,3- to 5-year-olds,bb,code12,52.1
2010,percentage (%),a) time series,3- to 5-year-olds,bb,code12,54.3
2011,percentage (%),a) time series,3- to 5-year-olds,bb,code12,56.9
2012,percentage (%),a) time series,3- to 5-year-olds,bb,code12,58.6
2013,percentage (%),a) time series,3- to 5-year-olds,bb,code12,60.4
2014,percentage (%),a) time series,3- to 5-year-olds,bb,code12,60.9
2015,percentage (%),a) time series,3- to 5-year-olds,bb,code12,63.0
2016,percentage (%),a) time series,3- to 5-year-olds,bb,code12,62.2
2017,percentage (%),a) time series,3- to 5-year-olds,bb,code12,62.1
2018,percentage (%),a) time series,3- to 5-year-olds,bb,code12,62.5
2019,percentage (%),a) time series,3- to 5-year-olds,bb,code12,64.1
2006,percentage (%),a) time series,3- to 5-year-olds,hb,code04,18.4
2007,percentage (%),a) time series,3- to 5-year-olds,hb,code04,19.1
2008,percentage (%),a) time series,3- to 5-year-olds,hb,code04,19.8
2009,percentage (%),a) time series,3- to 5-year-olds,hb,code04,21.1
2010,percentage (%),a) time series,3- to 5-year-olds,hb,code04,22.2
2011,percentage (%),a) time series,3- to 5-year-olds,hb,code04,26.2
2012,percentage (%),a) time series,3- to 5-year-olds,hb,code04,26.4
2013,percentage (%),a) time series,3- to 5-year-olds,hb,code04,30.0
2014,percentage (%),a) time series,3- to 5-year-olds,hb,code04,32.3
2015,percentage (%),a) time series,3- to 5-year-olds,hb,code04,35.7
2016,percentage (%),a) time series,3- to 5-year-olds,hb,code04,36.9
2017,percentage (%),a) time series,3- to 5-year-olds,hb,code04,38.0
2018,percentage (%),a) time series,3- to 5-year-olds,hb,code04,38.5
2019,percentage (%),a) time series,3- to 5-year-olds,hb,code04,38.5
2006,percentage (%),a) time series,3- to 5-year-olds,hh,code02,24.7
2007,percentage (%),a) time series,3- to 5-year-olds,hh,code02,27.0
2008,percentage (%),a) time series,3- to 5-year-olds,hh,code02,28.5
2009,percentage (%),a) time series,3- to 5-year-olds,hh,code02,31.4
2010,percentage (%),a) time series,3- to 5-year-olds,hh,code02,33.6
2011,percentage (%),a) time series,3- to 5-year-olds,hh,code02,36.3
2012,percentage (%),a) time series,3- to 5-year-olds,hh,code02,37.9
2013,percentage (%),a) time series,3- to 5-year-olds,hh,code02,41.0
2014,percentage (%),a) time series,3- to 5-year-olds,hh,code02,42.4
2015,percentage (%),a) time series,3- to 5-year-olds,hh,code02,45.7
2016,percentage (%),a) time series,3- to 5-year-olds,hh,code02,45.3
2017,percentage (%),a) time series,3- to 5-year-olds,hh,code02,48.3
2018,percentage (%),a) time series,3- to 5-year-olds,hh,code02,47.3
2019,percentage (%),a) time series,3- to 5-year-olds,hh,code02,49.8
2006,percentage (%),a) time series,3- to 5-year-olds,he,code06,22.1
2007,percentage (%),a) time series,3- to 5-year-olds,he,code06,25.5
2008,percentage (%),a) time series,3- to 5-year-olds,he,code06,29.2
2009,percentage (%),a) time series,3- to 5-year-olds,he,code06,32.4
2010,percentage (%),a) time series,3- to 5-year-olds,he,code06,36.3
2011,percentage (%),a) time series,3- to 5-year-olds,he,code06,39.0
2012,percentage (%),a) time series,3- to 5-year-olds,he,code06,41.3
2013,percentage (%),a) time series,3- to 5-year-olds,he,code06,44.2
2014,percentage (%),a) time series,3- to 5-year-olds,he,code06,46.7
2015,percentage (%),a) time series,3- to 5-year-olds,he,code06,48.0
2016,percentage (%),a) time series,3- to 5-year-olds,he,code06,49.6
2017,percentage (%),a) time series,3- to 5-year-olds,he,code06,50.5
2018,percentage (%),a) time series,3- to 5-year-olds,he,code06,51.3
2019,percentage (%),a) time series,3- to 5-year-olds,he,code06,53.5
2006,percentage (%),a) time series,3- to 5-year-olds,mv,code13,46.1
2007,percentage (%),a) time series,3- to 5-year-olds,mv,code13,48.5
2008,percentage (%),a) time series,3- to 5-year-olds,mv,code13,51.6
2009,percentage (%),a) time series,3- to 5-year-olds,mv,code13,54.8
2010,percentage (%),a) time series,3- to 5-year-olds,mv,code13,55.9
2011,percentage (%),a) time series,3- to 5-year-olds,mv,code13,58.0
2012,percentage (%),a) time series,3- to 5-year-olds,mv,code13,61.6
2013,percentage (%),a) time series,3- to 5-year-olds,mv,code13,63.8
2014,percentage (%),a) time series,3- to 5-year-olds,mv,code13,64.9
2015,percentage (%),a) time series,3- to 5-year-olds,mv,code13,66.5
2016,percentage (%),a) time series,3- to 5-year-olds,mv,code13,66.6
2017,percentage (%),a) time series,3- to 5-year-olds,mv,code13,67.2
2018,percentage (%),a) time series,3- to 5-year-olds,mv,code13,68.7
2019,percentage (%),a) time series,3- to 5-year-olds,mv,code13,70.8
2006,percentage (%),a) time series,3- to 5-year-olds,ni,code03,7.9
2007,percentage (%),a) time series,3- to 5-year-olds,ni,code03,9.5
2008,percentage (%),a) time series,3- to 5-year-olds,ni,code03,10.7
2009,percentage (%),a) time series,3- to 5-year-olds,ni,code03,12.5
2010,percentage (%),a) time series,3- to 5-year-olds,ni,code03,14.3
2011,percentage (%),a) time series,3- to 5-year-olds,ni,code03,16.6
2012,percentage (%),a) time series,3- to 5-year-olds,ni,code03,18.8
2013,percentage (%),a) time series,3- to 5-year-olds,ni,code03,21.4
2014,percentage (%),a) time series,3- to 5-year-olds,ni,code03,24.0
2015,percentage (%),a) time series,3- to 5-year-olds,ni,code03,26.6
2016,percentage (%),a) time series,3- to 5-year-olds,ni,code03,28.8
2017,percentage (%),a) time series,3- to 5-year-olds,ni,code03,30.1
2018,percentage (%),a) time series,3- to 5-year-olds,ni,code03,31.6
2019,percentage (%),a) time series,3- to 5-year-olds,ni,code03,34.9
2006,percentage (%),a) time series,3- to 5-year-olds,nw,code05,19.0
2007,percentage (%),a) time series,3- to 5-year-olds,nw,code05,21.7
2008,percentage (%),a) time series,3- to 5-year-olds,nw,code05,26.7
2009,percentage (%),a) time series,3- to 5-year-olds,nw,code05,30.5
2010,percentage (%),a) time series,3- to 5-year-olds,nw,code05,33.3
2011,percentage (%),a) time series,3- to 5-year-olds,nw,code05,35.7
2012,percentage (%),a) time series,3- to 5-year-olds,nw,code05,37.8
2013,percentage (%),a) time series,3- to 5-year-olds,nw,code05,39.7
2014,percentage (%),a) time series,3- to 5-year-olds,nw,code05,41.4
2015,percentage (%),a) time series,3- to 5-year-olds,nw,code05,44.1
2016,percentage (%),a) time series,3- to 5-year-olds,nw,code05,44.9
2017,percentage (%),a) time series,3- to 5-year-olds,nw,code05,45.4
2018,percentage (%),a) time series,3- to 5-year-olds,nw,code05,46.0
2019,percentage (%),a) time series,3- to 5-year-olds,nw,code05,46.6
2006,percentage (%),a) time series,3- to 5-year-olds,rp,code07,18.1
2007,percentage (%),a) time series,3- to 5-year-olds,rp,code07,20.2
2008,percentage (%),a) time series,3- to 5-year-olds,rp,code07,23.3
2009,percentage (%),a) time series,3- to 5-year-olds,rp,code07,28.4
